13:43:49 : Path identified is D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Balanced and D:/MscProject/Repo/Outputs/Exp_1_1_OG_BGS_findcontours/Unbalanced 
13:43:49 : Starting the processing of Exp_1_1_OG_BGS_FCon_Train_b32e100L0.0001 
13:44:18 : Running on GPU 
13:44:18 : Model is Exp_1_1_OG_BGS_FCon_Train_b32e100L0.0001 
13:55:48 : Epoch [58/100], Loss: 0.0889, Accuracy: 0.9384, Precision: 0.9286, Recall: 0.9499, Specificity: 0.9269, F1-Score: 0.9391 
13:55:59 : Epoch [59/100], Loss: 0.0556, Accuracy: 0.9353, Precision: 0.9299, Recall: 0.9415, Specificity: 0.9290, F1-Score: 0.9357 
13:56:11 : Epoch [60/100], Loss: 0.1137, Accuracy: 0.9405, Precision: 0.9254, Recall: 0.9582, Specificity: 0.9228, F1-Score: 0.9415 
13:56:23 : Epoch [61/100], Loss: 0.0609, Accuracy: 0.9374, Precision: 0.9302, Recall: 0.9457, Specificity: 0.9290, F1-Score: 0.9379 
13:56:35 : Epoch [62/100], Loss: 0.1961, Accuracy: 0.9415, Precision: 0.9188, Recall: 0.9687, Specificity: 0.9144, F1-Score: 0.9431 
13:56:47 : Epoch [63/100], Loss: 0.0802, Accuracy: 0.9363, Precision: 0.9283, Recall: 0.9457, Specificity: 0.9269, F1-Score: 0.9369 
13:56:59 : Epoch [64/100], Loss: 0.0884, Accuracy: 0.9374, Precision: 0.9284, Recall: 0.9478, Specificity: 0.9269, F1-Score: 0.9380 
13:57:10 : Epoch [65/100], Loss: 0.2159, Accuracy: 0.9436, Precision: 0.9208, Recall: 0.9708, Specificity: 0.9165, F1-Score: 0.9451 
13:57:22 : Epoch [66/100], Loss: 0.1048, Accuracy: 0.9405, Precision: 0.9271, Recall: 0.9562, Specificity: 0.9248, F1-Score: 0.9414 
13:57:34 : Epoch [67/100], Loss: 0.1473, Accuracy: 0.9436, Precision: 0.9242, Recall: 0.9666, Specificity: 0.9207, F1-Score: 0.9449 
13:57:46 : Epoch [68/100], Loss: 0.1253, Accuracy: 0.9415, Precision: 0.9273, Recall: 0.9582, Specificity: 0.9248, F1-Score: 0.9425 
13:57:58 : Epoch [69/100], Loss: 0.0641, Accuracy: 0.9363, Precision: 0.9300, Recall: 0.9436, Specificity: 0.9290, F1-Score: 0.9368 
13:58:10 : Epoch [70/100], Loss: 0.0570, Accuracy: 0.9363, Precision: 0.9300, Recall: 0.9436, Specificity: 0.9290, F1-Score: 0.9368 
13:58:22 : Epoch [71/100], Loss: 0.0475, Accuracy: 0.9363, Precision: 0.9300, Recall: 0.9436, Specificity: 0.9290, F1-Score: 0.9368 
13:58:34 : Epoch [72/100], Loss: 0.1217, Accuracy: 0.9415, Precision: 0.9273, Recall: 0.9582, Specificity: 0.9248, F1-Score: 0.9425 
13:58:45 : Epoch [73/100], Loss: 0.0552, Accuracy: 0.9363, Precision: 0.9336, Recall: 0.9395, Specificity: 0.9332, F1-Score: 0.9365 
13:58:57 : Epoch [74/100], Loss: 0.0843, Accuracy: 0.9415, Precision: 0.9290, Recall: 0.9562, Specificity: 0.9269, F1-Score: 0.9424 
13:59:09 : Epoch [75/100], Loss: 0.1986, Accuracy: 0.9415, Precision: 0.9205, Recall: 0.9666, Specificity: 0.9165, F1-Score: 0.9430 
13:59:20 : Epoch [76/100], Loss: 0.0912, Accuracy: 0.9342, Precision: 0.9280, Recall: 0.9415, Specificity: 0.9269, F1-Score: 0.9347 
13:59:33 : Epoch [77/100], Loss: 0.1137, Accuracy: 0.9415, Precision: 0.9290, Recall: 0.9562, Specificity: 0.9269, F1-Score: 0.9424 
13:59:45 : Epoch [78/100], Loss: 0.0793, Accuracy: 0.9363, Precision: 0.9318, Recall: 0.9415, Specificity: 0.9311, F1-Score: 0.9367 
13:59:56 : Epoch [79/100], Loss: 0.2394, Accuracy: 0.9436, Precision: 0.9208, Recall: 0.9708, Specificity: 0.9165, F1-Score: 0.9451 
14:00:08 : Epoch [80/100], Loss: 0.0720, Accuracy: 0.9374, Precision: 0.9320, Recall: 0.9436, Specificity: 0.9311, F1-Score: 0.9378 
14:00:20 : Epoch [81/100], Loss: 0.0696, Accuracy: 0.9384, Precision: 0.9303, Recall: 0.9478, Specificity: 0.9290, F1-Score: 0.9390 
14:00:32 : Epoch [82/100], Loss: 0.0482, Accuracy: 0.9363, Precision: 0.9336, Recall: 0.9395, Specificity: 0.9332, F1-Score: 0.9365 
14:00:44 : Epoch [83/100], Loss: 0.0788, Accuracy: 0.9342, Precision: 0.9280, Recall: 0.9415, Specificity: 0.9269, F1-Score: 0.9347 
14:00:56 : Epoch [84/100], Loss: 0.0665, Accuracy: 0.9353, Precision: 0.9264, Recall: 0.9457, Specificity: 0.9248, F1-Score: 0.9360 
14:01:07 : Epoch [85/100], Loss: 0.1059, Accuracy: 0.9395, Precision: 0.9270, Recall: 0.9541, Specificity: 0.9248, F1-Score: 0.9403 
14:01:19 : Epoch [86/100], Loss: 0.0506, Accuracy: 0.9342, Precision: 0.9333, Recall: 0.9353, Specificity: 0.9332, F1-Score: 0.9343 
14:01:31 : Epoch [87/100], Loss: 0.0564, Accuracy: 0.9374, Precision: 0.9320, Recall: 0.9436, Specificity: 0.9311, F1-Score: 0.9378 
14:01:43 : Epoch [88/100], Loss: 0.0983, Accuracy: 0.9342, Precision: 0.9298, Recall: 0.9395, Specificity: 0.9290, F1-Score: 0.9346 
14:01:55 : Epoch [89/100], Loss: 0.1321, Accuracy: 0.9405, Precision: 0.9289, Recall: 0.9541, Specificity: 0.9269, F1-Score: 0.9413 
14:02:07 : Epoch [90/100], Loss: 0.0723, Accuracy: 0.9384, Precision: 0.9303, Recall: 0.9478, Specificity: 0.9290, F1-Score: 0.9390 
14:02:18 : Epoch [91/100], Loss: 0.0964, Accuracy: 0.9384, Precision: 0.9251, Recall: 0.9541, Specificity: 0.9228, F1-Score: 0.9394 
14:02:30 : Epoch [92/100], Loss: 0.2025, Accuracy: 0.9426, Precision: 0.9223, Recall: 0.9666, Specificity: 0.9186, F1-Score: 0.9439 
14:02:42 : Epoch [93/100], Loss: 0.0283, Accuracy: 0.9353, Precision: 0.9299, Recall: 0.9415, Specificity: 0.9290, F1-Score: 0.9357 
14:02:54 : Epoch [94/100], Loss: 0.0942, Accuracy: 0.9040, Precision: 0.8862, Recall: 0.9269, Specificity: 0.8810, F1-Score: 0.9061 
14:03:06 : Epoch [95/100], Loss: 0.0550, Accuracy: 0.9374, Precision: 0.9267, Recall: 0.9499, Specificity: 0.9248, F1-Score: 0.9381 
14:03:17 : Epoch [96/100], Loss: 0.2213, Accuracy: 0.9395, Precision: 0.9395, Recall: 0.9395, Specificity: 0.9395, F1-Score: 0.9395 
14:03:29 : Epoch [97/100], Loss: 0.1624, Accuracy: 0.9405, Precision: 0.9324, Recall: 0.9499, Specificity: 0.9311, F1-Score: 0.9411 
14:03:41 : Epoch [98/100], Loss: 0.0836, Accuracy: 0.9384, Precision: 0.9286, Recall: 0.9499, Specificity: 0.9269, F1-Score: 0.9391 
14:03:53 : Epoch [99/100], Loss: 0.1279, Accuracy: 0.9342, Precision: 0.9262, Recall: 0.9436, Specificity: 0.9248, F1-Score: 0.9349 
14:04:05 : Epoch [100/100], Loss: 0.1178, Accuracy: 0.9353, Precision: 0.9264, Recall: 0.9457, Specificity: 0.9248, F1-Score: 0.9360 
14:06:02 : Test Loss: 0.3576, Test Accuracy: 0.9396, Test Precision: 0.3346, Test Recall: 0.9859, Test Specificity: 0.9381, Test F1-Score: 0.4996 
14:06:02 : Total Time taken: 1333.7723134999978 Seconds 
